chapter_id,chapter_title,Sam,Frodo,Gollum,Gandalf,Orcs,Aragorn,word_count,sentence_count,avg_sentence_length,importance
1,THE DEPARTURE OF BOROMIR,7,14,0,3,26,32,3425,293,11.689419795221845,1
2,THE RIDERS OF ROHAN,1,2,0,13,37,86,11211,839,13.36233611442193,0
3,THE URUK-HAI,0,5,1,3,41,0,7743,700,11.061428571428571,1
4,TREEBEARD,2,1,0,8,15,0,12914,891,14.493827160493828,1
5,THE WHITE RIDER,1,1,0,53,6,45,8926,757,11.791281373844122,1
6,THE KING OF THE GOLDEN HALL,0,0,0,64,2,28,9395,782,12.014066496163682,0
7,HELM’S DEEP,0,0,0,11,24,43,7606,632,12.03481012658228,0
8,THE ROAD TO ISENGARD,0,0,0,52,9,4,7971,534,14.926966292134832,1
9,F LOTSAM AND JETSAM,1,1,0,23,13,20,7843,609,12.87848932676519,0
10,THE VOICE OF SARUMAN,0,0,0,47,0,3,5684,490,11.6,0
11,THE PALANTÍ R,1,0,0,53,1,14,6328,602,10.511627906976743,1
12,THE TAMING OF SMÉAGOL,78,85,47,0,7,0,8237,768,10.725260416666666,1
13,THE PASSAGE OF THE MARSHES,56,47,73,0,5,0,7328,629,11.650238473767883,0
14,THE BLACK GATE IS CLOSED,26,36,41,8,6,5,5856,449,13.042316258351892,0
15,OF HERBS AND STEWED RABBIT,55,30,30,0,4,2,6927,507,13.662721893491124,1
16,THE WINDOW ON THE WEST,30,58,1,7,4,7,10164,681,14.92511013215859,0
17,THE FORBIDDEN POOL,7,62,28,2,0,0,5185,515,10.067961165048544,0
18,JOURNEY TO THE CROSS-ROADS,21,30,28,1,0,0,4253,313,13.587859424920127,1
19,THE STAIRS OF CIRITH UNGOL,51,68,35,1,5,1,6704,528,12.696969696969695,0
20,SHELOB’S LAIR,46,28,25,0,7,0,5157,335,15.394029850746268,0
21,THE CHOICES OF MASTER SAMWISE,37,30,2,1,13,0,7566,646,11.712074303405572,0
